stud_id,first_name,last_name,birthdate,fees
1000001,Donnell,MacAnulty,2005-07-24,1200
1000002,Corrinne,Fuggle,2005-07-28,1500
1000003,Torrey,Yanyshev,2004-04-29,1000
1000004,Oates,Beetham,2003-03-22,1800
1000005,Hurlee,Pulhoster,2003-03-08,3450
1000006,Chancey,Chase,2003-10-28,1050
1000007,Chauncey,Barles,2005-07-22,2500
1000008,Kayley,Fishpond,2005-02-03,2700
1000009,Hewitt,Yven,2004-12-27,1410
1000010,Vernor,Plewright,2003-09-21,3680
1000011,Sileas,Nicklen,2005-02-15,2123
1000012,Ebba,Dobbing,2004-07-06,2456
1000013,Sarette,Sebrens,2003-03-07,2789
1000014,Clair,Markey,2003-02-11,4250
